Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-346.459	-319.3702	-27.08878	8.331795	2.817296	0.0489854	0.0325616	0.0183042	0.00180932	0.0247934	0.0997001	0.0447831	0.0742299	0.025299	0.110662	0.0155	0.0447046	0.0280891	0.206542	0.0289788	0.0238902	0.0180944	0.0281258	0.172561	0.173455	0.0360495	0.0322697	0.0595884	0.0144117	0.157977	0.0139894	0.0210005	0.0642624	0.0711492	0.0358904	0.00165954	0.0154193	0.0562108	0.105928	0.242545	0.297107	0.00776178	0.208169	0.0260543	0.0871949	0.112724	0.215983	0.0741854	0.0523409	0.06565502	0.09983604	0.0555399	0.0807964	0.0170991	0.0154439	0.00605958	0.0145938	0.047029	0.0670075	0.00377488	0.0147406	0.198974	0.0123879	0.20216	0.174812	0.0895808	0.283028	7	13.1059	0.1883104	0.374614	0.720883	1.08145	1.82305	0.120593	0.29275	0.138011	0.11564	0.0941335	0.238871	0.3828641	0.7392389
11	0	-361.0314	-325.7279	-35.30352	8.685001	3.591634	0.235878	0.0214304	0.0694507	0.109219	0.00361354	0.0141281	0.0220597	0.129943	0.0875308	0.00820791	0.0110641	0.0226139	0.203387	0.208669	0.0406796	0.00621515	0.00146758	0.0217607	0.139231	0.103394	0.0397138	0.0205276	0.277668	0.0480116	0.114529	0.00525774	0.0169459	0.0286915	0.0450085	0.435416	0.117125	0.127608	0.00133366	0.0138937	0.101662	0.136584	0.261195	0.0692895	0.146917	0.0126126	0.0151428	0.000996619	0.0472674	0.314734	0.08936962	0.148405	0.264884	0.0459127	0.0846898	0.06	0.00479557	0.0943212	0.0228044	0.073288	0.0307946	0.0373598	0.0619538	0.00551243	0.114963	0.0911613	0.00755973	0.2635087	7	9.446336	0.2076204	0.430417	0.759787	1.08421	1.72559	0.134566	0.210148	0.149958	0.131864	0.117066	0.256397	0.4119136	0.6397183
12	0	-345.1663	-325.0764	-20.08989	6.839318	1.96996	0.0201812	0.214724	0.0423059	0.120651	0.0146352	0.00060287	0.0241613	0.0102134	0.000377513	0.0662339	0.0351056	0.00679015	0.101588	0.130002	0.0776713	0.000883301	0.0681469	0.229027	0.0629167	0.230782	0.0394238	0.00133969	0.0305764	0.00130751	0.105075	0.0483336	0.00287208	0.0770154	0.000314391	0.010794	0.0815141	0.307219	0.0191498	0.012384	0.245437	0.120008	0.0659348	0.0368703	0.047332	0.0428464	0.113585	0.00852477	0.0209277	0.35562	0.07018136	0.04864415	0.0531242	0.0937659	0.0657211	0.0237296	0.0453408	0.063706	0.0521839	0.0299274	0.0844814	0.117442	0.200299	0.0708785	0.0302135	0.0661422	0.00304488	0.3555536	7	11.04508	0.2174518	0.289662	0.651781	1.06922	1.98934	0.189441	0.315787	0.111284	0.120782	0.138434	0.124271	0.4041978	0.8796526
13	0	-359.3152	-327.1831	-32.13212	9.649883	4.814063	0.236559	0.00158734	0.0162973	0.181513	0.00915657	0.00431252	0.306649	0.118742	0.151442	0.0680447	0.00222281	0.00516042	0.0370865	0.176822	0.023755	0.0247355	0.00578661	0.220774	0.0280458	0.0151726	0.0108329	0.00652124	0.0569664	0.0431262	0.152441	0.0156893	0.0291582	0.152356	0.0896014	0.0191769	0.0297373	0.0706117	0.0269196	0.0110097	0.0925726	0.122889	0.0366937	0.0781729	0.0835024	0.0398372	0.00177613	0.0777321	0.0493623	0.136483	0.06336424	-0.1140933	0.112522	0.00226283	0.00939723	0.00565876	0.0158057	0.0331088	0.104457	0.139263	0.00900923	0.185488	0.0505693	0.0946232	0.0855861	0.136067	0.0161816	0.5229376	6	10.17828	0.1311576	0.494167	0.799365	1.08361	1.62286	0.136814	0.203727	0.189649	0.0816	0.169292	0.218917	0.4088444	1.279063
14	0	-336.0125	-317.882	-18.1305	6.215968	2.959043	0.00515346	0.0701852	0.114644	0.04503	0.0340033	0.0336574	0.103266	0.0900556	0.0478119	0.0247403	0.00253591	0.00748936	0.270182	0.163397	0.0490873	0.00868278	0.00478559	0.165745	0.0625924	0.0534228	0.459105	0.00725417	0.0391443	0.0925971	0.231312	0.0113387	0.0294557	0.216061	0.0308586	0.166301	0.0340293	0.0236942	0.0366649	0.120031	0.0289769	0.0337933	0.207503	0.00947879	0.0694999	0.205925	0.132061	0.0076095	0.00509983	0.0761614	0.07272596	0.1388679	0.100083	0.0814445	0.0305208	0.0112863	0.00780125	0.025623	0.0448547	0.0828046	0.0403816	0.155149	0.147817	0.0559495	0.0490692	0.122876	0.0443395	0.5800501	8	6.22919	0.1739557	0.386068	0.729235	1.08231	1.80239	0.155484	0.359567	0.122547	0.086583	0.110744	0.165075	0.718918	0.8068376
15	0	-358.9159	-317.6664	-41.24956	10.38289	3.700775	0.246346	0.026526	0.117823	0.0127461	0.191542	0.0706171	0.00769747	0.162308	0.092802	0.106662	0.0938133	0.00148542	0.0645862	0.290262	0.0408954	0.0686709	0.0274287	0.0413034	0.175265	0.172001	0.0948784	0.0314416	0.00887295	0.0147469	0.394578	0.106886	0.0839349	0.0597632	0.0441082	0.64616	0.00132039	0.0309136	0.411466	0.0214693	0.0893249	0.0538668	0.030051	0.0882508	0.106718	0.143826	0.0485065	0.0513853	0.0359344	0.0383236	0.1127547	0.1759113	0.106077	0.0998239	0.0512089	0.0250336	0.0204692	0.0155773	0.0769271	0.0323636	0.00427651	0.0916433	0.211655	0.0732764	0.0447008	0.0786463	0.068321	0.3971665	7	14.39371	0.1055902	0.437129	0.764182	1.08432	1.71437	0.206104	0.241056	0.144349	0.091712	0.137806	0.178973	0.5730779	0.6930411
16	0	-374.2739	-321.4834	-52.79046	6.261421	2.929648	0.392656	0.00292867	0.0656528	0.0227117	0.0566868	0.00654526	0.309636	0.10751	0.00256156	0.171972	0.0251751	0.031565	0.164632	0.0410213	0.016254	0.0332263	0.00595888	0.0828495	0.113323	0.371444	0.0741774	0.00556342	0.0721131	0.499141	0.00258597	0.0500712	0.760559	0.00866608	0.735506	0.0759553	0.726238	0.0659499	0.016732	0.0569079	0.235184	0.113214	0.0426989	0.330089	0.03257	0.0218369	0.133345	0.2598	0.00106574	0.0311288	0.1642275	0.1437691	0.0251285	0.000223739	0.0162063	0.0271041	0.022754	0.0618083	0.00947587	0.0694924	0.0597663	0.133784	0.116521	0.012041	0.0252065	0.254576	0.165912	0.3546389	7	7.281233	0.1981645	0.383745	0.727557	1.08215	1.80655	0.193997	0.264201	0.156572	0.158319	0.139844	0.0870669	0.498408	0.7115434
17	0	-350.9224	-319.1984	-31.72404	5.307919	1.759261	0.546134	0.412082	0.0541159	0.0147705	0.0180863	0.0119222	0.0417249	0.168605	0.0999333	0.0140967	0.00673738	0.020314	0.197998	0.520096	0.157158	0.13652	0.00586796	0.0199284	0.253747	0.133053	0.0188701	0.094097	0.0921477	0.0196931	0.378759	0.0245103	0.614856	0.339	0.0443225	0.195822	0.041132	0.366257	0.0866902	0.0028427	0.0493254	0.209395	0.114925	0.0590085	0.0109518	0.029409	0.145517	0.00180862	0.106946	0.153951	0.1372399	0.1156149	0.108355	0.060691	0.0708465	0.0170094	0.000818663	0.0658253	0.160777	0.0319074	0.0341112	0.241396	0.072519	0.0251679	0.00404193	0.0810077	0.0255266	0.4598545	7	6.117832	0.306966	0.26274	0.626702	1.06261	2.04795	0.154916	0.312056	0.184587	0.0778771	0.123838	0.146726	0.5754694	0.7990946
18	0	-340.9247	-330.4135	-10.51126	7.214666	1.84772	0.181202	0.00892223	0.0012933	0.0264422	0.0338622	0.0153171	0.0541253	0.0926329	0.00710883	0.00812536	0.0276427	0.0487308	0.188574	0.0748208	0.137408	0.0189716	0.0473605	0.0545925	0.00954197	0.206379	0.0813439	0.00209576	0.00997909	0.0094391	0.0516087	0.06072	0.179478	0.0834557	0.0284451	0.00784876	0.0897984	0.333919	0.0699916	0.0055362	0.157234	0.015313	0.00572848	0.0269473	0.0211804	0.0224231	0.0644253	0.0251027	0.0140788	0.0867396	0.05522427	0.1614649	0.0489024	0.0359726	0.101811	0.0125691	0.0353645	0.0528816	0.0479964	0.0991718	0.00422575	0.0784905	0.0167734	0.166414	0.207776	0.0804728	0.0111785	0.3829753	5	8.184124	0.1740461	0.274393	0.637778	1.06567	2.02216	0.251895	0.252601	0.139319	0.0682469	0.138664	0.149274	0.5444402	0.7034295
19	0	-352.5608	-323.7826	-28.77816	8.618192	7.218691	0.00654228	0.0685891	0.0260756	0.0294539	0.0249008	0.0584451	0.00411431	0.0722709	0.0697942	0.0538269	0.29258	0.00289637	0.00926049	0.0802532	0.216484	0.104138	0.00787305	0.0717105	0.207401	0.0219614	0.0612699	0.0216945	0.0259149	0.10096	0.0210745	0.0798949	0.220934	0.23906	0.177317	0.00484886	0.069209	0.0484404	0.102523	0.161547	0.177748	0.0452229	0.134789	0.00787722	0.105071	0.0644696	0.0197107	0.00234534	0.0150912	0.00607937	0.09705628	-0.04019346	0.0573759	0.0181145	0.0278899	0.0900078	0.018191	0.0694473	0.0252559	0.0325224	0.0392934	0.153289	0.0266922	0.0460118	0.190052	0.0613387	0.144518	0.465493	5	10.33241	0.1110466	0.574321	0.843118	1.07844	1.50412	0.199008	0.358331	0.109004	0.117212	0.115917	0.100528	0.4252996	1.094506
20	0	-338.4336	-319.7097	-18.7239	7.674006	2.141032	0.012145	0.0207797	0.0168297	0.0644379	0.101086	0.0460494	0.0247045	0.106452	0.141782	0.127496	0.00142211	0.00106047	0.108453	0.0504691	0.0121287	0.0392592	0.000822678	0.01903	0.155686	0.0887813	0.00604446	0.0165448	0.142739	0.141442	0.0347156	0.0681735	0.212261	0.226848	0.0164732	0.0329243	0.0218705	0.145111	0.0767534	0.00459718	0.323331	0.133805	0.0137644	0.257613	0.10725	0.00796745	0.110309	0.0218402	0.0410539	0.213963	0.07369835	-0.06143928	0.0479511	0.0165001	0.0355543	0.00988222	0.00512282	0.051636	0.103605	0.0619132	0.037727	0.188314	0.0910582	0.107625	0.0456138	0.193734	0.00376391	0.6268536	8	8.102604	0.1750801	0.309548	0.669219	1.07315	1.94808	0.262406	0.268305	0.10324	0.0802375	0.159154	0.126658	0.5654143	1.108662
21	0	-343.5521	-318.4943	-25.05777	9.45467	3.645968	0.351821	0.0279983	0.0540588	0.0238238	0.018517	0.066606	0.0027857	0.0117454	0.205526	0.00169895	0.0511372	0.0154343	0.0887272	0.0882587	0.00237495	0.00305744	0.0281863	0.0683038	0.158457	0.097744	0.22218	0.0306648	0.00628378	0.0734796	0.0128308	0.0119515	0.015864	0.0958575	0.0258961	0.00748539	0.0229565	0.0135901	0.0356432	0.188888	0.317247	0.0824284	0.0826004	0.0539562	0.0241238	0.149178	0.047769	0.0159498	0.0277457	0.19991	0.07447937	0.02147071	0.0452209	0.0600139	0.0883512	0.0906476	0.0254235	0.0117102	0.0617219	0.162012	0.00374191	0.197191	0.013449	0.0578764	0.071261	0.0579163	0.0534634	0.6679721	3	10.04821	0.181993	0.433789	0.762002	1.08427	1.71994	0.161147	0.281388	0.1658	0.131568	0.0872648	0.172833	0.6894428	0.9688579
22	0	-350.6525	-325.1356	-25.51694	8.453798	3.171813	0.0618928	0.00390692	0.0209742	0.0290525	0.0149468	0.115105	0.0145365	0.0582883	0.0646393	0.0433513	0.0136601	0.00123628	0.0778788	0.156395	0.0533909	0.0449954	0.0297653	0.023636	0.10211	0.217815	0.00573491	0.0654212	0.0240832	0.0882924	0.0108106	0.0082072	0.126483	0.0847302	0.00792768	0.00455494	0.000582758	0.188308	0.0157457	0.136359	0.0937221	0.0594368	0.126222	0.00173701	0.0420914	0.027678	0.0547569	0.0811245	0.0060166	0.223498	0.07444925	0.3356858	0.0982283	0.0253701	0.0260795	0.0808307	0.0017036	0.00671333	0.0618061	0.0281127	0.00420052	0.124624	0.0742411	0.107336	0.0100844	0.213825	0.136846	0.3903342	7	10.97824	0.07447554	0.402132	0.740618	1.08324	1.77401	0.146637	0.363584	0.12296	0.119221	0.131208	0.116391	0.7260201	0.5376356
23	0	-372.5014	-322.6116	-49.88977	4.273751	2.42609	0.235872	0.00175688	0.0379205	0.152527	0.0118944	0.0493113	0.115961	0.812583	0.0535759	0.25329	0.0674553	0.468025	0.0336273	0.0942413	0.421945	0.0250898	0.00216369	0.522778	0.196549	0.0387523	0.340378	0.0786251	0.0112101	0.0106712	0.554078	0.0372266	0.00536374	0.798062	0.176614	0.03743	0.259523	0.351093	0.00455998	0.134104	1.38339	0.150126	0.242603	0.438354	0.0368241	0.0157494	0.0458243	0.204501	0.0421175	0.243738	0.1748394	0.03575765	0.098847	0.00216645	0.0129923	0.0230087	0.00600553	0.0127296	0.0933317	0.13844	0.0508704	0.0358008	0.147189	0.0928842	0.142256	0.099343	0.0441354	0.4815086	8	4.42762	0.2224487	0.339335	0.693821	1.07774	1.88911	0.161923	0.219877	0.229364	0.134867	0.138914	0.115055	0.5172663	0.9308719
24	0	-367.5746	-331.7732	-35.80145	4.632973	2.7019	0.2251	0.0124123	0.0699574	0.011004	0.00250791	0.429516	0.208984	0.105407	0.0936038	0.117276	0.169751	0.00830333	0.0282235	0.240171	0.106324	0.0299273	0.0143919	0.0136057	0.121391	0.108039	0.0232842	0.0463264	0.0297203	0.705522	0.25477	0.0094187	0.0188861	0.0165691	0.410949	0.179786	0.133422	0.0508154	0.0389802	0.0761793	0.832603	0.0720963	0.270773	0.0704441	0.0470007	0.102978	0.223539	0.0457994	0.0045593	0.148426	0.105565	0.2860628	0.174203	0.0600025	0.0649582	0.074673	0.0928853	0.00279423	0.152022	0.19275	0.00447518	0.0121276	0.0705789	0.00338083	0.00546837	0.0120106	0.0776711	0.3018874	3	7.064468	0.186251	0.364799	0.713562	1.08059	1.84105	0.225662	0.239201	0.149854	0.131553	0.0673357	0.186394	0.5879501	0.5134574
25	0	-334.3944	-327.317	-7.077399	8.661091	4.067122	0.111672	0.00621323	0.0131524	0.00961459	0.0225084	0.0109012	0.0301376	0.00938361	0.0265192	0.0319597	0.00784753	0.0549398	0.0363277	0.130008	0.0143578	0.000506487	0.0102985	0.00940731	0.0394259	0.142374	0.0739348	0.00222351	0.0164653	0.143941	0.0176488	0.0840747	0.0150819	0.0874065	0.042612	0.0110326	0.029423	0.0129428	0.0162061	0.146288	0.00406279	0.0117149	0.260852	0.0226851	0.0255	0.15748	0.110778	0.00902913	0.121266	0.00135289	0.05183649	0.006663489	0.0425876	0.0735816	0.083448	0.0508433	0.0154543	0.0715987	0.0381134	0.0399399	0.0208226	0.220633	0.1165	0.0449433	0.0966946	0.0546702	0.03017	0.3527796	5	11.38351	0.1577093	0.458012	0.777499	1.08438	1.6801	0.178877	0.252665	0.0864024	0.109112	0.162282	0.210662	0.3594431	0.9814616
26	0	-357.791	-316.6268	-41.16413	6.862005	1.922621	0.187101	0.00306411	0.081364	0.0605178	0.0214399	0.018924	0.0112412	0.075112	0.0233269	0.0213295	0.0488253	0.00267997	0.128261	0.402425	0.0683547	0.0269415	0.0205982	0.519593	0.245944	0.247305	0.016348	0.0145687	0.33838	0.0225575	0.155079	0.0681841	0.0501739	0.485282	0.227507	0.0191627	0.00208094	0.0980817	0.182522	0.133584	0.0306787	0.00782533	0.178609	0.241633	0.0220486	0.1314	0.241416	0.117006	0.00427934	0.0450504	0.1550674	0.1588752	0.0710267	0.0014357	0.0498433	0.0219412	0.00920509	0.00463346	0.0150476	0.0569983	0.0129044	0.00718929	0.111027	0.148607	0.0623882	0.211373	0.21638	0.4535608	6	7.590079	0.1023387	0.28386	0.646525	1.06793	2.00169	0.117751	0.332063	0.119378	0.11797	0.144954	0.167884	0.612436	0.7405848
