Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-314.1281	-296.9186	-17.20941	7.877465	3.000789	0.21812	0.0546947	0.130437	0.0264341	0.0295979	0.0410169	0.0641647	0.0807704	0.0218057	0.0641992	0.0203668	0.0345861	0.0182088	0.178579	0.0372412	0.0557824	0.00261681	0.0389953	0.0488062	0.0289723	0.0872537	0.00327242	0.0937945	0.0608594	0.011549	0.0619354	0.229786	0.0535214	0.0675815	0.0151953	0.000554369	0.00249903	0.200609	0.0140764	0.0126176	0.0294419	0.14863	0.00373722	0.0362101	0.210322	0.0681128	0.18101	0.0382926	0.0357023	0.07706661	-0.1014031	0.0565699	0.0963197	0.0373038	0.146709	0.00205298	0.00388985	0.292913	0.0532725	0.10846	0.0208947	0.06748	0.0640476	0.0388652	0.00983227	0.00138944	0.5778241	7	9.763856	0.1219457	0.389323	0.731572	1.08252	1.79659	0.216196	0.317875	0.137912	0.0657119	0.105827	0.156478	0.4764209	1.212844
11	0	-332.5813	-302.2091	-30.37226	5.318846	1.836019	0.123267	0.0178158	0.00104501	0.00449755	0.00740169	0.0348483	0.189283	0.117087	0.130085	0.020257	0.255492	0.0855505	0.0730922	0.0721077	0.0052036	0.0101728	0.088248	0.126356	0.183346	0.0769836	0.399096	0.0138026	0.0379589	0.304508	0.0133136	0.0460362	0.283094	0.135168	0.342941	0.0866193	0.00956054	0.0115386	0.119871	0.0409134	0.781134	0.136273	0.0171328	0.0248097	0.0332635	0.387985	0.0178459	0.182684	0.120156	0.0986745	0.1023455	0.1531148	0.0227018	0.137083	0.00496763	0.0359721	0.00779859	0.0822391	0.245255	0.00356377	0.0451945	0.0556361	0.0506853	0.0341621	0.041663	0.228194	0.00488339	0.5556665	7	8.574475	0.155824	0.272882	0.636361	1.06529	2.02547	0.247804	0.259287	0.0952624	0.112216	0.179843	0.105587	0.7087814	0.7839745
12	0	-321.1843	-285.5028	-35.6815	8.074867	6.105779	0.0031343	0.0294436	0.00968583	0.127724	0.0874261	0.00453231	0.014169	0.0752387	0.0532185	0.0774384	0.0255	8.29859e-06	0.0166305	0.26491	0.00328487	0.1119	0.0478098	0.0755579	0.0103219	0.000580173	0.0478177	0.0364606	0.127253	0.387025	0.184895	0.0232295	0.0475957	0.0610028	0.343032	0.045605	0.0143303	0.184867	0.0698849	0.0130226	0.0129425	0.390169	0.0191912	0.316784	0.0940873	0.0102389	0.1387	0.118104	0.00330843	0.385729	0.0875542	0.1417287	0.02344	0.101464	0.0337542	0.0538561	0.0067197	0.00180962	0.146904	0.00477535	0.0872898	0.0173289	0.188317	0.00803077	0.0894347	0.217575	0.0193016	0.3323642	5	8.959606	0.1892867	0.542396	0.826413	1.08102	1.55017	0.197621	0.348179	0.130898	0.0818771	0.157681	0.0837438	0.474093	0.7010528
13	0	-313.7555	-296.4737	-17.28187	5.626402	2.137483	0.0405163	0.0724005	0.0699602	0.0323234	0.0617673	0.00871943	0.0639865	0.181811	0.0657152	0.0607283	0.0331774	0.177347	0.0441286	0.341993	0.00606331	0.0685853	0.0844597	0.0289585	0.283211	0.0251614	0.000461824	0.00160646	0.0557127	0.0423092	0.136051	0.0241356	0.146784	0.0448089	0.00659541	0.0179782	0.0334086	0.0915589	0.0751277	0.00545936	0.121631	0.204204	0.167584	0.0108419	0.0527657	0.420919	0.283286	0.270285	0.002668	0.0174053	0.07213141	0.09567936	0.0287639	0.179695	0.000850993	0.00742668	0.0309183	0.00631503	0.144384	0.00232036	0.162137	0.0585548	0.0980694	0.0705235	0.0250384	0.121297	0.0637053	0.5148222	8	5.881515	0.1976084	0.309152	0.66888	1.07308	1.94889	0.18782	0.311314	0.102755	0.0842562	0.269368	0.0444873	0.6105015	0.8432774
14	0	-307.0202	-289.1346	-17.88562	10.34739	1.306437	0.00342149	0.0653606	0.0367627	0.00280351	0.0155096	0.0256713	0.106068	0.0766768	0.0166913	0.0570349	0.0504157	0.208261	0.026534	0.321238	0.0104295	0.0173906	0.00213703	0.0199534	0.00221784	0.0206793	0.0115796	0.0667556	0.103758	0.0459482	0.0801497	0.144315	0.0494546	0.00602463	0.00622224	0.120943	0.104298	0.0593601	0.297461	0.00884203	0.128464	0.0586925	0.0562943	0.0225982	0.167477	0.0761488	0.064978	0.0526281	0.0142426	0.0196553	0.07523746	0.01310787	0.0298978	0.118335	0.0369062	0.0178154	0.00431541	0.0277146	0.2383	0.000790318	0.0649938	0.0321421	0.283156	0.0137681	0.0198954	0.109126	0.00284445	0.5025803	6	16.35664	0.1179597	0.193814	0.552811	1.0367	2.21668	0.164282	0.324558	0.110581	0.0661619	0.219465	0.114953	0.5156881	0.9745818
15	0	-346.9362	-300.4711	-46.46515	8.206991	1.098033	0.0741683	0.0137439	0.556038	0.00550055	0.22493	0.0636581	0.243189	0.0113518	0.153833	0.101318	0.183539	0.0874473	0.056596	0.136919	0.0133323	0.656689	0.0610607	0.209753	0.301744	0.00616992	0.129792	0.458521	0.396849	0.191079	0.000788242	0.113704	0.0709314	0.163697	0.0335289	0.153793	0.069692	0.0473594	0.186387	0.0185946	0.124227	0.0726031	0.132314	0.0723626	0.402879	0.624867	0.242914	0.2578	0.151	0.0101496	0.1691594	0.2188327	0.0479354	0.269554	0.0870013	0.102915	0.00113747	0.00492886	0.144948	0.0148507	0.0193185	0.00209921	0.209456	0.000588692	0.0138624	0.0771385	0.00426561	0.4161899	9	8.332838	0.2080309	0.156089	0.504357	1.01452	2.32504	0.158883	0.338047	0.0782642	0.110452	0.183716	0.130638	0.6350226	0.6553938
16	0	-314.6	-282.4627	-32.13729	9.17502	9.013511	0.00207761	0.0268984	0.0207953	0.0634541	0.0498307	0.0254546	0.00471361	0.110013	0.0304372	0.0644048	0.0213064	0.000357339	0.0434768	0.0311763	0.0185736	0.0564947	0.0458959	0.0495793	0.138834	0.0133861	0.0130246	0.0144058	0.169801	0.0283446	0.0249332	0.167782	0.134279	0.0910287	0.057564	0.0311758	0.092857	0.242642	0.0144172	0.223654	0.00663591	0.0276618	0.101479	0.0288625	0.342376	0.161637	0.0047429	0.0493613	0.00291752	0.1471	0.08844181	0.04891563	0.0392217	0.141473	0.00526122	0.0216281	0.00278398	0.00315123	0.255961	0.00649382	0.092481	0.0791586	0.0977676	0.0952441	0.012704	0.14551	0.00116062	0.2365876	7	10.3718	0.08325288	0.613976	0.862662	1.0744	1.44897	0.19911	0.315755	0.0952987	0.0679992	0.225744	0.0960925	0.2855033	0.8286688
17	0	-301.3997	-284.3995	-17.0002	6.83123	3.281963	0.0558038	0.00921725	0.0812268	0.135948	0.102121	0.100195	0.183626	0.21753	0.103536	0.00434979	0.0010314	0.00592897	0.0013495	0.106968	0.0105087	0.0348286	0.172531	0.027094	0.00683999	0.0217799	0.000887364	0.0435268	0.139977	0.0548925	0.164879	0.127882	0.00510248	0.0718855	0.0357056	0.00849096	0.0374209	0.201159	0.172604	0.105779	0.045219	0.114645	0.0591833	0.222852	0.163919	0.0699359	0.0626315	0.000622557	0.00932631	0.131887	0.07367777	0.2070638	0.0424992	0.112664	0.00245355	0.015422	0.00422914	0.00828674	0.188025	0.0023804	0.120005	0.00584396	0.162211	0.0326678	0.0726186	0.188237	0.0424569	0.5120043	8	7.094329	0.1586762	0.409964	0.746034	1.08359	1.76041	0.313636	0.227801	0.0984066	0.088626	0.172843	0.0986877	0.7190682	0.7120387
18	0	-295.5372	-286.6282	-8.908928	6.735402	2.272895	0.0429377	0.0158471	0.0148234	0.0117366	0.025227	0.0346245	0.0418096	0.0635857	0.0607207	0.0425598	0.0518665	0.0633386	0.0351742	0.118514	0.00334523	0.0121987	0.00492775	0.116442	0.0587216	0.0271788	0.0525853	0.0466303	0.114404	0.0029982	0.252577	0.016432	0.08064	0.0560108	0.00487379	0.010204	0.0051772	0.323307	0.0321256	0.345109	0.012912	0.0107051	0.170342	0.19891	0.0785058	0.0909587	0.00470227	0.12704	0.00553241	0.00842657	0.0662351	0.03458051	0.0296655	0.172384	0.00858264	0.0154345	0.00551926	0.0013063	0.161217	0.00109525	0.119524	0.0269307	0.178936	0.0207407	0.0876712	0.0297882	0.141204	0.6282606	7	9.639369	0.167402	0.32381	0.681214	1.07553	1.91945	0.235229	0.252216	0.0674836	0.119742	0.236605	0.088724	0.6628411	0.9478299
19	0	-358.329	-317.1177	-41.21133	5.561625	0.8985005	0.505927	0.00376682	0.00570363	0.0212199	0.338547	0.124375	0.066061	0.146746	0.0276974	0.27906	0.462927	0.0344558	0.105151	0.321354	0.0314113	0.0295841	0.0125533	0.0179725	0.0104522	0.0452661	0.0609454	0.00447563	0.168229	0.0551584	0.0956951	0.273957	0.24235	0.00592461	0.155411	0.0976733	0.173822	0.193672	0.209182	0.134379	0.000604262	0.168329	0.127092	0.0112705	0.35079	0.00812698	0.296427	0.107532	0.0577251	0.0228117	0.1409105	0.1309456	0.0518082	0.168029	0.0681827	0.058107	0.0132239	0.023669	0.090591	0.00308111	0.206935	0.108306	0.122421	0.00877188	0.0165035	0.0490478	0.0113239	0.4359114	7	6.673715	0.1065462	0.116284	0.443964	0.980911	2.45884	0.179047	0.308728	0.0886138	0.0637262	0.240908	0.118977	0.566857	0.7689971
20	0	-335.103	-295.6512	-39.45176	12.93804	3.200927	0.114604	0.0734001	0.228196	0.0660584	0.0917947	0.048166	0.019032	0.0881627	0.0174018	0.1295	0.035026	0.173141	0.0620798	0.137748	0.0240228	0.232409	0.155795	0.0179136	0.0118744	0.012394	0.102322	0.0266969	0.216256	0.0348508	0.0946737	0.0120957	0.118188	0.0232981	0.138176	0.0144326	0.061433	0.0250851	0.0192893	0.172079	0.00944629	0.00814587	0.129542	0.00239295	0.164753	0.122583	0.246323	0.0486015	0.0217749	0.102143	0.09086852	-0.01813032	0.0605208	0.0750512	0.00054989	0.0347264	0.0105089	0.00445026	0.199534	0.00156728	0.0627989	0.00919415	0.163771	0.040198	0.0940456	0.203949	0.0391348	0.2835184	8	14.84514	0.1740879	0.404232	0.742079	1.08334	1.77035	0.157176	0.260693	0.12837	0.113122	0.210463	0.130177	0.2653881	1.068316
21	0	-318.0366	-294.1043	-23.93226	7.978075	1.541318	0.00735407	0.0886284	8.22798e-05	0.0940019	0.0510232	0.130733	0.0456504	0.146321	0.0457431	0.014338	0.00106641	0.0217688	0.0127171	0.12887	0.0209745	0.0344079	0.0460209	0.00041478	0.0681084	0.0729936	0.0609106	0.105292	0.176031	0.2875	0.0496631	0.0093387	0.137883	0.0478291	0.0769846	0.0243896	0.221695	0.0707203	0.0106344	0.296926	0.00844815	0.082602	0.057358	0.0721931	0.00513648	0.128855	0.00305441	0.133975	0.0537226	0.0970576	0.1101201	0.2893883	0.0131566	0.149471	0.0546057	0.00392399	0.00591814	0.00955295	0.142095	0.0147317	0.0761995	0.0678148	0.20124	0.0106078	0.0410495	0.118269	0.0913646	0.3421224	6	9.27615	0.2060324	0.231635	0.595292	1.05276	2.12031	0.237976	0.288248	0.132206	0.0967862	0.147483	0.0973001	0.6315107	0.5417524
22	0	-307.2396	-288.0514	-19.18817	6.650781	1.42253	0.155397	0.0294558	0.0294612	0.0143924	0.00125288	0.0824376	0.0801023	0.0385446	0.0351146	0.0583102	0.0516012	0.010354	0.0184251	0.24686	0.0043184	0.00266768	0.101616	0.132392	0.0198665	0.00839384	0.0160451	0.032293	0.00468516	0.0901994	0.0390981	0.0118879	0.148112	0.195292	0.0555069	0.0960064	0.0736549	0.0541419	0.00971186	0.000306493	0.0125955	0.205253	0.180026	0.195121	0.030133	0.0245458	0.0709077	0.0835344	0.00144368	0.41298	0.0739794	0.1552788	0.01619	0.234968	0.00632529	0.0406739	0.0140472	3.15666e-05	0.0654069	0.0178251	0.118255	0.11042	0.222356	0.00681678	0.021688	0.117664	0.00733128	0.4951715	7	7.031205	0.1867265	0.213103	0.575132	1.04553	2.16624	0.140438	0.311617	0.0904232	0.109087	0.233804	0.11463	0.6504503	0.761275
23	0	-338.236	-300.9977	-37.23833	9.43167	2.641072	0.0637565	0.011131	0.0238459	0.0724118	0.109384	0.0102545	0.0678951	0.0851494	0.0441661	0.394058	0.00805589	0.00940224	0.00764725	0.0664549	0.00705747	0.0789113	0.324726	0.0122509	0.0641943	0.0038637	0.0265865	0.0308317	0.221302	0.81626	0.371104	0.024069	0.26703	0.0199687	0.104993	0.0226449	0.0250938	0.0922143	0.0351867	0.0310487	0.248179	0.123396	0.236575	0.0109977	0.0367054	0.126761	0.12175	0.128034	0.0199117	0.0270406	0.1123091	-0.004090685	0.0296688	0.127513	0.00819429	0.107044	0.0093193	0.00889265	0.178749	0.0213066	0.125215	0.0239828	0.154676	0.014955	0.0734198	0.112891	0.00417325	0.559229	6	11.93255	0.08529225	0.359436	0.709496	1.08006	1.85101	0.266212	0.255923	0.141152	0.066549	0.118187	0.151977	0.5551383	1.007369
24	0	-309.6043	-292.5183	-17.08596	5.268264	1.57976	0.0429016	0.0299882	0.0216753	0.0931598	0.170777	0.0542642	0.0109266	0.052011	0.123707	0.22886	0.00237736	0.0471982	0.0275715	0.0496737	0.00326035	0.0755841	0.0609805	0.000525508	0.0545715	0.0182572	0.00608037	0.00966311	0.14631	0.347296	0.140541	0.000942052	0.0383404	0.0785076	0.0726541	0.0569431	0.0661624	0.430754	0.0043829	0.315362	0.0123612	0.0861923	0.0741262	0.130875	0.00746392	0.310093	0.433069	0.0116827	0.0175304	0.0686239	0.1094661	0.1260368	0.0464791	0.140495	0.00437035	0.0670121	0.00122862	0.00430662	0.367832	0.000317759	0.0254277	0.00787821	0.0590691	0.030216	0.000453683	0.222494	0.0224204	0.5385817	5	7.528681	0.221117	0.237385	0.601316	1.05478	2.10652	0.157393	0.273145	0.12957	0.0758029	0.232996	0.131094	0.6646185	0.8103621
25	0	-335.2596	-302.0178	-33.24182	7.304821	2.547702	0.0243069	0.0106243	0.0115876	0.00849552	0.0613097	0.2128	0.0170293	0.204084	0.0228533	0.159117	0.0263405	0.10241	0.113116	0.330441	0.119599	0.0332467	0.0874055	0.146491	0.218681	0.363434	0.0930058	0.058378	0.0315347	0.0609868	0.365659	0.0992643	0.138904	0.130288	0.028882	0.384493	0.0192436	0.205103	0.1987	0.0257589	0.0483885	0.0367573	0.00105884	0.0318613	0.448882	0.0350365	0.239145	0.0672508	0.0311598	0.182854	0.1304719	-0.1341082	0.0219783	0.140763	0.00603958	0.024741	0.0660564	0.0286429	0.150541	0.00315204	0.191141	0.114594	0.130172	0.0129243	0.0243035	0.0046751	0.080276	0.6493945	9	7.381627	0.1922089	0.350933	0.70295	1.07915	1.86697	0.268957	0.314479	0.0980626	0.0949122	0.178468	0.0451213	0.5152863	1.260259
26	0	-332.2216	-293.8354	-38.38625	8.705607	3.221212	0.0249155	0.0423975	0.0263896	0.00359635	0.184431	0.108139	0.16718	0.330519	0.154117	0.119734	0.022175	0.143436	0.0749426	0.133427	0.0162745	0.287134	0.00922319	0.228255	0.140318	0.012332	0.0162827	0.0542035	0.0497575	0.416203	0.150154	0.184864	0.0789877	0.0140613	0.00529103	0.232297	0.0140786	0.0831992	0.252279	0.0599306	0.0838656	0.0232557	0.127265	0.216653	0.166643	0.0357669	0.116872	0.238579	0.00644532	0.226764	0.1425231	0.1945009	0.0301042	0.0881854	0.0155811	0.034188	0.0559095	0.0189679	0.180423	0.00919636	0.221183	0.0210544	0.187139	0.0372188	0.0175765	0.0220228	0.0612496	0.4228199	7	8.794286	0.09766437	0.405683	0.743084	1.08341	1.76782	0.238947	0.34423	0.147286	0.0521756	0.127746	0.0896159	0.6173208	0.6849273
